Rank,URL,Title,Country,Air Date,Time Slot,Episodes,Runtime,Network,Director,Writer,Leads,Leads_Likes,Leads_Max,Score,Voter,Watchers,Genre,Tag
276,https://mydramalist.com/56911-do-you-like-brahms/cast,Do You Like Brahms?, South Korea ," Aug 31, 2020 - Oct 20, 2020"," Monday, Tuesday", 16, 1 hr. 5 min.,SBS,/people/33119-jo-young-min,/people/33117-ryu-bo-ri,"/people/1897-park-eun-bin, /people/9324-kim-min-jae, /people/15691-park-ji-hyun, /people/16728-kim-sung-chul",2043.5,4157,8.1,10892,24273,"Music, Romance, Drama, Melodrama","Love Triangle, Classical Music, Friends To Lovers, Nice Female Lead, Shy Female Lead, Hardworking Female Lead, Nice Male Lead, Persevering Female Lead, Perseverance, First Love"
277,https://mydramalist.com/9702-high-school-king-of-savvy/cast,High School King of Savvy, South Korea ," Jun 16, 2014 - Aug 11, 2014"," Monday, Tuesday", 17, 1 hr. 5 min.,tvN,/people/16688-yoo-je-won,"/people/15982-yang-hee-seung, /people/18697-jo-sung-hee","/people/2576-seo-in-guk, /people/4071-lee-ha-na, /people/804-lee-soo-hyuk, /people/5870-lee-yeol-eum",3577.5,9554,7.7,10135,24094,"Comedy, Romance, Sports","Older Woman/Younger Man, Double Identity, Eccentric Female Lead, Male Chases Female First, Nice Male Lead, Steamy Kiss, High School, Hidden Identity, Ice Hockey, Workplace Setting"
278,https://mydramalist.com/21664-strongest-deliveryman/cast,Strongest Deliveryman, South Korea ," Aug  4, 2017 - Sep 23, 2017"," Friday, Saturday", 16, 52 min.,KBS2,"/people/17409-kim-shin-il, /people/21337-jun-woo-sung",/people/21335-lee-jung-woo,"/people/2374-go-kyung-pyo, /people/9225-chae-soo-bin, /people/15244-kim-sun-ho, /people/7883-go-won-hee",2517.5,4203,7.9,10300,24073,"Business, Comedy, Romance, Life","Debt, Secondary Couple, Strong Female Lead, Nice Male Lead, Love/Hate Relationship, Love Triangle, Deliverywoman Female Lead, Deliveryman Male Lead, Chasing A Dream, Hardworking Male Lead"
279,https://mydramalist.com/29565-hot-blooded-priest/cast,The Fiery Priest Season 1, South Korea ," Feb 15, 2019 - Apr 20, 2019"," Friday, Saturday", 40, 35 min.,SBS,/people/16567-lee-myung-woo,/people/19618-park-jae-bum,"/people/261-kim-nam-gil, /people/3044-kim-sung-kyun, /people/816-lee-ha-nui, /people/12122-go-joon, /people/17947-geum-sae-rok",689.6,1781,8.7,9395,23824,"Action, Mystery, Comedy, Crime","Badass Male Lead, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Sismance, Corruption, Investigation, Tragic Past, Frenemy"
280,https://mydramalist.com/26979-devilish-joy/cast,Devilish Joy, South Korea ," Sep  5, 2018 - Oct 25, 2018"," Wednesday, Thursday", 16, 1 hr. 5 min.,"DramaX, MBN, Viki",/people/20924-kim-ga-ram,/people/20923-choi-ji-yeon,"/people/1328-choi-jin-hyuk, /people/428-song-ha-yoon, /people/3842-hoya, /people/4235-lee-joo-yeon",1313.0,3753,7.9,9569,23805,"Comedy, Romance, Drama","Amnesia, Rich Man/Poor Woman, Hardworking Female Lead, Steamy Kiss, Love At First Sight, Riches To Rags, Psychological, Trauma, Rich Male Lead, Misunderstanding"
281,https://mydramalist.com/13388-mask/cast,Mask, South Korea ," May 27, 2015 - Jul 30, 2015"," Wednesday, Thursday", 20, 60 min.,SBS,/people/17145-boo-sung-chul,/people/16013-choi-ho-chul,"/people/312-soo-ae, /people/251-joo-ji-hoon, /people/834-yoo-in-young, /people/671-yeon-jung-hoon",1039.25,2334,8.1,11180,23799,"Thriller, Psychological, Romance, Melodrama","Identity Swap, Hidden Identity, Trauma, Cohabitation, Slow Burn Romance, Faked Death, Doppelganger, Cold Man/Warm Woman, Weak Male Lead, Aquaphobia"
282,https://mydramalist.com/14655-yong-pal/cast,Yong Pal, South Korea ," Aug  5, 2015 - Oct  1, 2015"," Wednesday, Thursday", 18, 1 hr. 5 min.,SBS,/people/22892-oh-jin-suk,/people/16133-jang-hyuk-rin,"/people/396-joo-won, /people/490-kim-tae-hee, /people/511-jo-hyun-jae, /people/442-chae-jung-ahn",1244.75,2703,7.8,11357,23677,"Action, Romance, Drama, Medical","Revenge, Strong Female Lead, Strong Male Lead, Rich Woman/Poor Man, Character Development, Power Struggle, Poor Male Lead, Boss-Employee Relationship, Hospital Setting, Surgeon Male Lead"
283,https://mydramalist.com/22187-the-boy-next-door/cast,The Boy Next Door, South Korea ," Apr  3, 2017 - Apr 28, 2017", Monday, 15, 6 min.,Naver TV Cast,n/a,/people/21820-choi-woo-joo,"/people/2551-choi-woo-shik, /people/8226-jang-ki-yong, /people/13650-jang-hee-ryung",2703.0,3989,8.0,11545,23614,"Comedy, Romance, Youth","Web Series, Adapted From A Webtoon, Misunderstanding, Bromance, Cohabitation, Mistaken As LGBTQ+, Short Length Series, Parody, Neighbors' Relationship, Foreigner Supporting Character"
284,https://mydramalist.com/23390-temperature-of-love/cast,Temperature of Love, South Korea ," Sep 18, 2017 - Nov 21, 2017"," Monday, Tuesday", 40, 30 min.,SBS,/people/16212-nam-gun,/people/16015-ha-myung-hee,"/people/941-seo-hyun-jin, /people/13727-yang-se-jong, /people/314-kim-jae-wook, /people/2213-jo-bo-ah",2862.5,4250,7.6,8121,23473,"Food, Comedy, Romance, Life","Love Triangle, Older Woman/Younger Man, Second Chance Romance, Bromance, Calm Male Lead, Steamy Kiss, Healing, Male Chases Female First, Strong Female Lead, Cooking"
285,https://mydramalist.com/702267-weak-hero/cast,Weak Hero Class 1, South Korea ," Nov 18, 2022", Friday, 8, 40 min.,n/a,/people/101095-you-su-min,/people/101095-you-su-min,"/people/16211-park-ji-hoon, /people/40661-choi-hyun-wook, /people/15693-hong-kyung, /people/45409-kim-su-gyeom",668.75,1349,9.1,11381,23355,"Action, Youth, Drama","School Bullying, Bromance, Smart Male Lead, Violence, Adapted From A Webtoon, Friendship, Fight, High School, Student, School"
286,https://mydramalist.com/6719-cruel-city/cast,Cruel City, South Korea ," May 27, 2013 - Jul 30, 2013"," Monday, Tuesday", 20, 60 min.,jTBC,/people/17013-lee-jung-hyo,/people/17012-yoo-sung-yeol,"/people/698-jung-kyung-ho, /people/533-nam-gyu-ri, /people/923-lee-jae-yoon, /people/979-son-chang-min, /people/4403-kim-yoo-mi",1030.8,3643,8.6,9336,23310,"Action, Thriller, Romance, Crime","Badass Male Lead, Gang, Bromance, Strong Female Lead, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Orphan Male Lead, Detective Male Lead"
287,https://mydramalist.com/79341-wish-you-your-melody-in-my-heart/cast,Wish You: Your Melody From My Heart, South Korea ," Dec  4, 2020 - Dec 25, 2020", Friday, 8, 10 min.,Viki,/people/61103-seong-do-joon,/people/61103-seong-do-joon,"/people/13657-kang-in-soo, /people/14500-lee-sang",379.0,478,7.6,13774,23308,"Music, Romance, Drama","Music Industry, LGBTQ+, Cohabitation, Gay Romance, Shy Male Lead, Miniseries, Singing, Web Series, Rich Male Lead, Gay Male Lead"
288,https://mydramalist.com/702681-blueming/cast,Blueming Season 1, South Korea ," Mar 31, 2022", Thursday, 11, 14 min.,iQiyi,/people/42267-hwang-da-seul,/people/84423-park-young,"/people/40857-jo-hyuk-joon, /people/96919-kang-eun-bin",219.0,254,8.1,13913,23023,"Romance, Youth, Drama","LGBTQ+, Insecure Male Lead, Short Length Series, Gay Male Lead, Divorced Parents, Web Series, Body Shaming, Popular Male Lead, Brother-Sister Relationship, Gay Romance"
289,https://mydramalist.com/32879-chocolate/cast,Chocolate, South Korea ," Nov 29, 2019 - Jan 18, 2020"," Friday, Saturday", 16, 1 hr. 5 min.,"jTBC, Netflix",/people/17370-lee-hyung-min,/people/16022-lee-kyung-hee,"/people/829-yoon-kye-sang, /people/187-ha-ji-won, /people/8652-jang-seung-jo, /people/10758-min-jin-woong",1452.75,4081,8.1,10210,22993,"Romance, Life, Medical, Melodrama","Hospice Care, Cooking, Healing, Slow Burn Romance, Tragic Past, Trauma, Nice Male Lead, First Love, Compassionate Female Lead, Death"
290,https://mydramalist.com/29322-eulachacha-waikiki-2/cast,Eulachacha Waikiki 2, South Korea ," Mar 25, 2019 - May 14, 2019"," Monday, Tuesday", 16, 1 hr. 10 min.,"jTBC, Viki",/people/17995-lee-chang-min,/people/17994-kim-ki-ho,"/people/15244-kim-sun-ho, /people/4754-lee-yi-kyung, /people/11423-shin-hyun-soo, /people/5346-moon-ga-young, /people/955-ahn-so-hee, /people/1572-kim-ye-won",1639.8333333333333,4203,8.2,9387,22902,"Comedy, Romance, Life, Drama","Multiple Mains, Bromance, First Love, Slow Burn Romance, Misunderstanding, Poor Female Lead, Hardworking Male Lead, Hardworking Female Lead, Naive Female Lead, Part-time Worker"
291,https://mydramalist.com/6497-monstar/cast,Monstar, South Korea ," May 17, 2013 - Aug  2, 2013", Friday, 12, 1 hr. 25 min.,Mnet,/people/15891-kim-won-suk,"/people/15972-kim-tae-hee, /people/16692-jung-yoon-jung","/people/2558-yong-jun-hyung, /people/5122-ha-yeon-soo, /people/3850-kang-ha-neul, /people/1530-ahn-nae-sang",1526.0,4956,7.3,11035,22836,"Music, Romance, Youth","High School, Love Triangle, Transfer Student, School Bullying, Idol Male Lead, Teenager Female Lead, Teenager Male Lead, Famous Male Lead, Famous Lead/Common Lead, Band"
292,https://mydramalist.com/23753-live-up-to-your-name-dr.-heo/cast,Live Up to Your Name, South Korea ," Aug 12, 2017 - Oct  1, 2017"," Saturday, Sunday", 16, 1 hr. 10 min.,tvN,/people/16054-hong-jong-chan,/people/16614-kim-eun-hee,"/people/261-kim-nam-gil, /people/540-kim-ah-joong",1238.5,1781,8.3,10839,22750,"Historical, Romance, Medical, Fantasy","Time Travel, Joseon Dynasty, Acupuncture, Strong Female Lead, Character Development, Trauma, Eccentric Male Lead, Tragic Past, Doctor Female Lead, Doctor Male Lead"
293,https://mydramalist.com/31193-an-empress-s-dignity/cast,The Last Empress, South Korea ," Nov 21, 2018 - Feb 21, 2019"," Wednesday, Thursday", 52, 35 min.,SBS,/people/20495-joo-dong-min,/people/16185-kim-soon-ok,"/people/668-jang-na-ra, /people/1488-shin-sung-rok, /people/1328-choi-jin-hyuk, /people/5340-lee-elliya, /people/290-shin-eun-kyung",1912.8,3753,8.0,8904,22675,"Action, Thriller, Mystery, Romance","Revenge, Hidden Identity, Double Identity, Murder, Character Development, Suspense, Alternate Reality, Unrequited Love, Love Triangle, Nice Male Lead"
294,https://mydramalist.com/15854-madame-antoine/cast,Madame Antoine, South Korea ," Jan 22, 2016 - Mar 12, 2016"," Friday, Saturday", 16, 1 hr. 5 min.,jTBC,/people/17007-kim-yoon-cheol,/people/15937-hong-jin-ah,"/people/1137-sung-joon, /people/1269-han-ye-seul, /people/1767-jung-jin-woon, /people/10509-lee-joo-hyung",1053.25,2356,7.3,9982,22658,"Psychological, Comedy, Romance","Mean Male Lead, Gaslighting, Betrayal, Emotional Abuse, Psychology, Multiple Couples, Older Woman/Younger Man, Eccentric Female Lead, Arrogant Male Lead, Shamanism"
295,https://mydramalist.com/30917-dazzling/cast,The Light in Your Eyes, South Korea ," Feb 11, 2019 - Mar 19, 2019"," Monday, Tuesday", 12, 60 min.,"jTBC, Viki",/people/21008-kim-seok-yoon,"/people/21003-lee-nam-gyu, /people/17756-kim-soo-jin","/people/1225-han-ji-min, /people/1869-kim-hye-ja, /people/7714-nam-joo-hyuk",4647.333333333333,12066,8.2,7407,22586,"Romance, Life, Drama, Melodrama","Life Lesson, Family Relationship, Time Loop, Father-Daughter Relationship, Time Manipulation, Mother-Daughter Relationship, Poor Male Lead, Double Identity, Poor Female Lead, First Love"
296,https://mydramalist.com/27759-wife-that-i-know/cast,Familiar Wife, South Korea ," Aug  1, 2018 - Sep 20, 2018"," Wednesday, Thursday", 16, 1 hr. 15 min.,tvN,/people/16147-lee-san-yeob,/people/15982-yang-hee-seung,"/people/469-ji-sung, /people/1225-han-ji-min, /people/6817-kang-han-na, /people/8652-jang-seung-jo",2729.0,6957,8.1,9737,22504,"Comedy, Romance, Drama, Fantasy","Time Travel, Second Chance Romance, Failing Marriage, Office Worker, Mother-Daughter Relationship, Brother-Sister Relationship, Female Chases Male First, First Love, Love Triangle, Flashback To Past"
297,https://mydramalist.com/10424-surplus-princess/cast,Surplus Princess, South Korea ," Aug  7, 2014 - Oct  9, 2014", Thursday, 10, 50 min.,tvN,/people/32707-baek-seung-ryong,n/a,"/people/2213-jo-bo-ah, /people/925-ohn-joo-wan, /people/1892-song-jae-rim, /people/5216-park-ji-soo",986.25,1866,7.3,10631,22429,"Comedy, Romance, Drama, Fantasy","Interspecies Romance, Prosopagnosia, Share House, Unrequited Love, Mermaid Female Lead, Cohabitation, Multiple Couples, Love Square, Height Difference, Housemates' Relationship"
298,https://mydramalist.com/16921-go-hos-starry-night/cast,Go Ho's Starry Night, South Korea ," Jul  2, 2016 - Jul 31, 2016"," Saturday, Sunday", 20, 20 min.,"SBS, Sohu TV",/people/15971-jo-soo-won,/people/52965-shin-yoo-dam,"/people/1811-kwon-yoo-ri, /people/1944-kim-young-kwang, /people/4755-lee-ji-hoon",1714.0,3725,8.2,10134,22352,"Business, Comedy, Romance, Drama","Reverse-Harem, Love/Hate Relationship, Male Chases Female First, Secret Crush, Hardworking Female Lead, Boss-Employee Relationship, Web Series, Cold Man/Warm Woman, Cold Male Lead, Unrequited Love"
299,https://mydramalist.com/13383-the-lover/cast,The Lover, South Korea ," Apr  2, 2015 - Jun 25, 2015", Thursday, 12, 50 min.,Mnet,/people/93431-kim-tae-eun,/people/104057-kim-min-seok,"/people/4684-oh-jung-se, /people/2813-ryu-hyun-kyung, /people/7687-jung-joon-young, /people/1326-choi-yeo-jin, /people/7010-lee-jae-joon, /people/3757-terada-takuya, /people/9627-park-jong-hwan, /people/7871-ha-eun-seol",367.875,1159,7.8,8738,22346,"Comedy, Romance, Life","Sexual Innuendo, Multiple Couples, Multiple Mains, LGBTQ+, Older Woman/Younger Man, Gay Romance, Omnibus, Neighbors' Relationship, Foodie Female Lead, Age Gap [Drama Life]"
300,https://mydramalist.com/50717-365-one-year-against-destiny/cast,365: Repeat the Year, South Korea ," Mar 23, 2020 - Apr 28, 2020"," Monday, Tuesday", 24, 35 min.,MBC,/people/36393-kim-kyung-hee,"/people/36389-lee-seo-yoon, /people/36391-lee-soo-kyung","/people/843-lee-joon-hyuk, /people/1434-nam-ji-hyun, /people/1212-kim-jee-soo",1438.0,2688,8.6,8103,22315,"Thriller, Mystery, Drama, Fantasy","Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Fate, Supernatural, Lying, Bromance, Strong Male Lead"
301,https://mydramalist.com/7028-two-weeks/cast,Two Weeks, South Korea ," Aug  7, 2013 - Sep 26, 2013"," Wednesday, Thursday", 16, 1 hr. 8 min.,MBC,"/people/16734-song-hyung-suk, /people/21578-choi-jeong-gyoo",/people/16143-so-hyun-kyung,"/people/207-lee-joon-gi, /people/609-kim-so-yeon, /people/537-ryu-soo-young, /people/1638-park-ha-sun, /people/5393-lee-chae-mi",2867.2,12112,8.5,9262,22094,"Action, Thriller, Mystery, Drama","Child Female Lead, Prosecutor Female Lead, Detective Male Lead, Single Father Male Lead, Leukemia, Wrongfully Accused, Slight Romance, Strong Male Lead, Conspiracy, Father-Daughter Relationship"
302,https://mydramalist.com/22409-the-guardians/cast,The Guardians, South Korea ," May 22, 2017 - Jul 11, 2017"," Monday, Tuesday", 32, 35 min.,MBC,"/people/16734-song-hyung-suk, /people/22818-park-seung-woo",/people/29143-kim-soo-eun,"/people/348-lee-shi-young, /people/1944-kim-young-kwang, /people/1070-kim-tae-hoon, /people/4837-kim-seul-gi, /people/3268-key",1853.6,3725,8.3,7977,21967,"Action, Thriller, Mystery, Law, Crime","Revenge, Strong Female Lead, Corruption, Tragic Past, Teamwork, Investigation, Smart Male Lead, Attempted Murder, Lying, Policewoman"
303,https://mydramalist.com/33949-mr-fixed-term/cast,Class of Lies, South Korea ," Jul 17, 2019 - Sep  5, 2019"," Wednesday, Thursday", 16, 1 hr. 10 min.,OCN,"/people/28725-sung-yong-il, /people/63097-park-ji-hyun",/people/28723-jang-hong-chul,"/people/3973-yoon-gyun-sang, /people/17947-geum-sae-rok, /people/15847-jun, /people/3460-choi-yoo-hwa, /people/16406-choi-kyu-jin, /people/21371-han-so-eun, /people/25993-kim-myung-ji",683.8571428571429,2189,8.4,7907,21867,"Thriller, Mystery, Law, Youth","Murder, Investigation, Death, High School, Jealousy, Multiple Mains, Rich Male Lead, Suspense, Attempted Murder, Attempted Suicide"
304,https://mydramalist.com/702353-minamdang-case-note/cast,Café Minamdang, South Korea ," Jun 27, 2022 - Aug 23, 2022"," Monday, Tuesday", 18, 1 hr. 3 min.,"KBS2, Netflix","/people/20491-go-jae-hyun, /people/106603-yoon-ra-young",/people/29181-park-hye-jin,"/people/2576-seo-in-guk, /people/1722-oh-yeon-seo, /people/7009-kwak-shi-yang, /people/15435-kang-mi-na, /people/11609-kwon-soo-hyun",2759.8,9554,8.1,8131,21821,"Mystery, Comedy","Slight Romance, Eccentric Female Lead, Investigation, Fraud, Police Inspector Female Lead, Swindler Male Lead, Detective Supporting Character, Investigator Male Lead, Righteous Female Lead, Death"
305,https://mydramalist.com/14324-six-flying-dragons/cast,Six Flying Dragons, South Korea ," Oct  5, 2015 - Mar 22, 2016"," Monday, Tuesday", 50, 60 min.,SBS,/people/17297-shin-kyung-soo,"/people/16180-kim-young-hyun, /people/16182-park-sang-yeon","/people/432-yoo-ah-in, /people/556-kim-myung-min, /people/993-shin-se-kyung, /people/7710-byun-yo-han, /people/3973-yoon-gyun-sang, /people/555-chun-ho-jin",1872.8333333333333,3900,8.8,5856,21798,"Action, Historical, Drama, Political","Revolution, Power Struggle, Political Intrigue, Sword-fight, Smart Male Lead, Taejong, Scheme, Taejo, Goryeo Dynasty, Bromance"
306,https://mydramalist.com/71995-daebak-real-estate/cast,Sell Your Haunted House, South Korea ," Apr 14, 2021 - Jun  9, 2021"," Wednesday, Thursday", 16, 1 hr. 10 min.,KBS2,/people/22951-park-jin-suk,"/people/61249-ha-soo-jin, /people/68661-jung-yeon-seo, /people/68663-lee-young-hwa","/people/668-jang-na-ra, /people/212-jung-yong-hwa",3205.5,3480,8.4,9527,21726,"Thriller, Mystery, Comedy, Fantasy","Ghost, Supernatural, Exorcism, Strong Female Lead, Smart Female Lead, Cold Female Lead, Suspense, Crime, Secret, Death"
307,https://mydramalist.com/29784-a-teen/cast,A-Teen Season 1, South Korea ," Jul  1, 2018 - Sep 16, 2018"," Wednesday, Sunday", 24, 10 min.,"Naver TV Cast, vLive",/people/50015-han-soo-ji,/people/50205-kim-sa-ra,"/people/19700-shin-ye-eun, /people/19695-lee-na-eun, /people/19696-kim-soo-hyun, /people/19701-kim-dong-hee, /people/19705-shin-seung-ho, /people/4409-ryu-ui-hyun",692.5,1479,8.1,10632,21715,"Comedy, Romance, Life, Youth","Web Series, Multiple Mains, Secret Crush, Calm Female Lead, High School, Friends To Lovers, Misunderstanding, Multiple Couples, Nice Male Lead, First Love"
308,https://mydramalist.com/733261-alchemy-of-souls-part-2/cast,Alchemy of Souls Season 2: Light and Shadow, South Korea ," Dec 10, 2022 - Jan  8, 2023"," Saturday, Sunday", 10, 1 hr. 21 min.,"Netflix, tvN","/people/16362-park-joon-hwa, /people/107321-bae-hyun-jin","/people/16011-hong-jung-eun, /people/16012-hong-mi-ran","/people/22279-lee-jae-wook, /people/22074-go-yoon-jung, /people/9607-hwang-min-hyun, /people/19705-shin-seung-ho, /people/2422-yoo-joon-sang, /people/2915-oh-na-ra",1208.6666666666667,3618,9.1,9907,21670,"Action, Historical, Romance, Fantasy","Strong Male Lead, Magical Power, Birth Secret, Smart Male Lead, Marriage Of Convenience, Supernatural, Nice Male Lead, Antihero Male Lead, Transmigration, Multiple Mains"
309,https://mydramalist.com/62541-money-heist/cast,Money Heist: Korea - Joint Economic Area - Part 1, South Korea ," Jun 24, 2022", Friday, 6, 1 hr. 10 min.,Netflix,/people/16298-kim-hong-seon,"/people/19905-ryu-yong-jae, /people/32715-choi-sung-joon, /people/32713-kim-hwan-chae","/people/279-yoo-ji-tae, /people/2810-park-hae-soo, /people/15813-jun-song-seo, /people/378-lee-won-jong, /people/1270-kim-ji-hoon, /people/10913-jang-yoon-ju, /people/1487-lee-hyun-woo, /people/10659-kim-ji-hoon, /people/18522-lee-gyu-ho, /people/1494-kim-yoon-jin, /people/845-kim-sung-oh, /people/60303-lee-shi-woo, /people/19472-lee-joo-bin, /people/22959-park-myung-hoon",664.2857142857143,4247,8.3,10378,21655,"Action, Thriller, Mystery, Crime","Hidden Identity, Hostage Situation, Reunification Of Korea, Multiple Mains, Sexual Content, Violence, Murder, Heist, Nudity, Strong Female Lead"
310,https://mydramalist.com/15126-high-end-crush/cast,High-end Crush, South Korea ," Nov 14, 2015 - Jan 17, 2016"," Saturday, Sunday", 20, 15 min.,"MBN, Naver TV Cast, Sohu TV",/people/21111-ji-young-soo,/people/52965-shin-yoo-dam,"/people/474-jung-il-woo, /people/2121-jin-se-yeon",2524.5,3919,7.7,9951,21608,"Comedy, Romance, Drama","Web Series, Entertainment Industry, Love At First Sight, Rich Man/Poor Woman, Overbearing CEO, Eccentric Male Lead, Possessive Male Lead, Naive Female Lead, Obsession, Male Chases Female First"
311,https://mydramalist.com/24289-revolutionary-love/cast,Revolutionary Love, South Korea ," Oct 14, 2017 - Dec  3, 2017"," Saturday, Sunday", 16, 1 hr. 10 min.,tvN,"/people/15989-song-hyun-wook, /people/20947-lee-jong-jae",/people/21799-joo-hyun,"/people/388-choi-shi-won, /people/1155-kang-so-ra, /people/6777-gong-myung",2193.0,3311,7.5,8748,21593,"Business, Comedy, Romance, Drama","Childhood Friends' Relationship, Office Worker Female Lead, Heir Male Lead, Company President (CEO) Male Lead, Cheerful Female Lead, Airhead Male Lead, Benevolent Mother, Strict Father, Dorky Male Lead, Spoiled Male Lead"
312,https://mydramalist.com/75433-rocket-boy-squad/cast,Racket Boys, South Korea ," May 31, 2021 - Aug  9, 2021"," Monday, Tuesday", 16, 1 hr. 15 min.,"Netflix, SBS",/people/15991-jo-young-kwang,/people/16561-jung-bo-hoon,"/people/814-kim-sang-kyung, /people/2915-oh-na-ra, /people/10227-tang-jun-sang, /people/19883-son-sang-yeon, /people/40661-choi-hyun-wook, /people/8548-kim-kang-hoon, /people/55699-kim-min-ki, /people/10359-lee-jae-in, /people/8412-lee-ji-won",438.55555555555554,944,8.8,9345,21440,"Comedy, Life, Drama, Sports","Badminton, Sport Club, Boarding House, Rural Life, Working Mom, Tough Female Lead, Tough Male Lead, Slight Romance, Multiple Mains, Carefree Female Lead"
313,https://mydramalist.com/24407-sweet-revenge/cast,Sweet Revenge, South Korea ," Oct 27, 2017 - Jan  5, 2018", Friday, 22, 15 min.,Oksusu,n/a,n/a,"/people/4097-kim-hyang-gi, /people/15157-park-solomon, /people/10399-cha-eun-woo, /people/3201-kim-hwan-hee",2365.75,7117,7.9,10615,21370,"Comedy, Romance, Youth, Fantasy","High School, School Bullying, Revenge, Nice Male Lead, Friends To Lovers, Sismance, Mobile App, Break Up, Cheating, Web Series"
314,https://mydramalist.com/28040-romantic-comedy-king/cast,My Absolute Boyfriend, South Korea ," May 15, 2019 - Jul 11, 2019"," Wednesday, Thursday", 40, 35 min.,"SBS, Viki",/people/16197-jung-jung-hwa,/people/17815-yang-hyuk-moon,"/people/1500-yeo-jin-goo, /people/5313-bang-min-ah, /people/2384-hong-jong-hyun, /people/14402-hong-seo-young, /people/10918-choi-sung-won",1544.8,5021,7.4,7139,21319,"Comedy, Romance, Drama, Fantasy","Male Chases Female First, Robot, Eccentric Male Lead, Warm Man/Cold Woman, Interspecies Romance, Artificial Intelligence, Cohabitation, Nice Male Lead, Clingy Male Lead, Cheerful Male Lead"
315,https://mydramalist.com/694427-the-speed-going-to-you-493km/cast,Love All Play, South Korea ," Apr 20, 2022 - Jun  9, 2022"," Wednesday, Thursday", 16, 1 hr. 10 min.,KBS2,/people/21991-jo-woong,/people/16018-heo-seong-hye,"/people/24041-park-joo-hyun, /people/32961-chae-jong-hyeop, /people/15691-park-ji-hyun, /people/58125-kim-moo-joon, /people/28093-seo-ji-hye",536.4,1160,8.4,8082,21202,"Romance, Drama, Sports, Melodrama","Badminton, Athlete Male Lead, Childhood Acquaintance, Teamwork, Friends To Lovers, Competition, Height Difference, Athlete Female Lead, Youth, Friendship"
316,https://mydramalist.com/16311-marriage-contract/cast,Marriage Contract, South Korea ," Mar  5, 2016 - Apr 24, 2016"," Saturday, Sunday", 16, 1 hr. 15 min.,MBC,/people/16966-kim-jin-min,/people/19232-jung-yoo-kyung,"/people/699-lee-seo-jin, /people/213-uee, /people/11169-shin-rin-ah",694.3333333333334,1418,8.0,10007,21181,"Romance, Drama, Melodrama","Terminal Illness, Tearjerker, Contract Relationship, Marriage Of Convenience, Poor Female Lead, Rich Man/Poor Woman, Rich Male Lead, Older Man/Younger Woman, Child Female Lead, Age Gap [Drama Life]"
317,https://mydramalist.com/34665-arthdal-chronicles-season-2/cast,"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land", South Korea ," Jun 22, 2019 - Jul  7, 2019"," Saturday, Sunday", 6, 1 hr. 21 min.,"Netflix, tvN",/people/15891-kim-won-suk,"/people/16182-park-sang-yeon, /people/16180-kim-young-hyun","/people/431-song-joong-ki, /people/883-jang-dong-gun, /people/1692-kim-ji-won, /people/2991-kim-ok-bin",4991.75,14160,8.7,11082,21100,"Historical, Romance, Fantasy, Political","War, Power Struggle, Slavery, Good Twin/Evil Twin, Strong Female Lead, Revenge, Character Development, Father-Daughter Relationship, Strong Male Lead, Political Intrigue"
318,https://mydramalist.com/692971-thirty-nine/cast,Thirty-Nine, South Korea ," Feb 16, 2022 - Mar 31, 2022"," Wednesday, Thursday", 12, 1 hr. 18 min.,"jTBC, Netflix",/people/20965-kim-sang-ho,/people/16188-yoo-young-a,"/people/293-son-ye-jin, /people/30283-jeun-mi-do, /people/21647-kim-ji-hyun",1626.0,4218,8.2,8620,21011,"Romance, Life, Drama","Terminal Illness, Sismance, Calm Male Lead, Doctor Female Lead, Warm Female Lead, Warm Male Lead, Timid Female Lead, Fast Paced Romance, Steamy Kiss, Multiple Mains"
319,https://mydramalist.com/684865-police-academy/cast,Police University, South Korea ," Aug  9, 2021 - Oct  5, 2021"," Monday, Tuesday", 16, 1 hr. 10 min.,KBS2,/people/69323-yoo-kwan-mo,/people/22010-moon-jung-min,"/people/284-cha-tae-hyun, /people/4081-jung-jin-young, /people/1637-krystal",2045.6666666666667,2776,7.9,8150,20988,"Mystery, Comedy, Romance, Drama","Investigation, Teamwork, Police Academy, University, Student, Youth, Honest Female Lead, Orphan Male Lead, Father-Son Relationship, Friendship"
320,https://mydramalist.com/32566-nurse-teacher-ahn-eun-young/cast,The School Nurse Files, South Korea ," Sep 25, 2020", Friday, 6, 51 min.,Netflix,/people/16900-lee-kyung-mi,/people/42855-chung-se-rang,"/people/1273-jung-yoo-mi, /people/7714-nam-joo-hyuk",6371.0,12066,7.3,9098,20897,"Mystery, Horror, Comedy, Supernatural","Ghost-seeing Female Lead, Exorcism, High School, Brave Female Lead, Adapted From A Novel, School, Special Power, Eccentric Female Lead, Slight Romance, Supernatural Phenomena"
